排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
230,Intel Core i7 6900K,192,8,16,3.2GHz,2016.05,https://www.topcpu.net/cpu/intel-core-i7-6900k
231,Intel Core i7 13705H,190,14,20,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13705h
232,AMD Ryzen 7 Pro 7840HS,190,8,16,3.8GHz,2023.06,https://www.topcpu.net/cpu/amd-ryzen-7-pro-7840hs
233,AMD Ryzen 5 8645HS,188,6,12,4.3GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-5-8645hs
234,AMD Ryzen AI 7 350,188,8,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-350
235,Intel Core i5 13500H,187,12,16,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500h
236,Intel Core i9 9900KF,187,8,16,3.6GHz,2019.01,https://www.topcpu.net/cpu/intel-core-i9-9900kf
237,AMD Ryzen 7 Pro 4750G,186,8,16,3.6GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-7-pro-4750g
238,Intel Xeon Gold 5315Y,186,8,16,3.2GHz,2021.04,https://www.topcpu.net/cpu/intel-xeon-gold-5315y
239,AMD Ryzen 5 7600X3D,186,6,12,4.1GHz,2024.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x3d
240,AMD Ryzen 5 5600,184,6,12,3.5GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-5-5600
241,Intel Xeon E-2378G,184,8,16,2.8GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2378g
242,AMD Ryzen 9 5980HX,184,8,16,3.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5980hx
243,AMD Ryzen 7 3800XT,183,8,16,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-7-3800xt
244,Intel Core i7 12650H,183,10,16,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12650h
245,Intel Core i9 12900,183,16,24,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900
246,Intel Core i9 11980HK,182,8,16,2.6-3.3GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11980hk
247,Intel Xeon E5-2698 v3,181,16,32,2.3GHz,2014.09,https://www.topcpu.net/cpu/intel-xeon-e5-2698-v3
248,Intel Xeon W-2155,181,10,20,3.3GHz,2017.08,https://www.topcpu.net/cpu/intel-xeon-w-2155
249,AMD Ryzen 5 7640U,181,6,12,3.5GHz,2023.05,https://www.topcpu.net/cpu/amd-ryzen-5-7640u
250,Intel Xeon E5-2678 v3,180,12,24,2.5GHz,2015.01,https://www.topcpu.net/cpu/intel-xeon-e5-2678-v3
251,Intel Core i5 12600,180,6,12,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12600
252,Intel Xeon E5-2690 v3,178,12,24,2.6GHz,2014.09,https://www.topcpu.net/cpu/intel-xeon-e5-2690-v3
253,Intel Core i5 11600K,178,6,12,3.9GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11600k
254,AMD Ryzen 7 Pro 6850U,178,8,16,2.7GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-pro-6850u
255,Intel Core i9 9900KS,177,8,16,4.0GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-9900ks
256,Intel Core i5 11500,177,6,12,2.7GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11500
257,Intel Xeon E5-2650 v4,177,12,24,2.2GHz,2016.03,https://www.topcpu.net/cpu/xeon-e5-2650-v4
258,AMD Ryzen 7 6800H,176,8,16,3.2GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-7-6800h
