排名,名称,跑分,规格,上市时间,详情页
216,Unisoc Tiger T610,58,8C @ 1820MHz  - 2019.06,2019.06,https://www.topcpu.net/cpu/unisoc-tiger-t610
217,HiSilicon Kirin 650,57,8C @ 2000MHz  - 2016.01,2016.01,https://www.topcpu.net/cpu/hisilicon-kirin-650
218,HiSilicon Kirin 655,57,8C @ 2120MHz  - 2016.12,2016.12,https://www.topcpu.net/cpu/hisilicon-kirin-655
219,HiSilicon Kirin 658,57,8C @ 2350MHz  - 2017.03,2017.03,https://www.topcpu.net/cpu/hisilicon-kirin-658
220,HiSilicon Kirin 659,57,8C @ 2360MHz  - 2017.01,2017.01,https://www.topcpu.net/cpu/hisilicon-kirin-659
221,MediaTek Helio P20,57,8C @ 2300MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/mediatek-helio-p20
222,Unisoc Tiger T620,54,8C @ 2200MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/unisoc-tiger-t620
223,MediaTek Helio P23,49,8C @ 2300MHz  - 2017.08,2017.08,https://www.topcpu.net/cpu/mediatek-helio-p23
224,Samsung Exynos 7884B,49,8C @ 1560MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/samsung-exynos-7884b
225,Samsung Exynos 7904,49,8C @ 1800MHz  - 2019.02,2019.02,https://www.topcpu.net/cpu/samsung-exynos-7904
226,MediaTek Helio G35,43,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g35
227,MediaTek Helio P35,43,8C @ 2300MHz  - 2018.12,2018.12,https://www.topcpu.net/cpu/mediatek-helio-p35
228,Qualcomm Snapdragon 430,43,8C @ 1400MHz  - 2015.09,2015.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-430
229,Qualcomm Snapdragon 435,43,8C @ 1400MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-435
230,Qualcomm Snapdragon 439,43,8C @ 2000MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-439
231,MediaTek Helio G36,43,8C @ 2200MHz  - 2022.02,2022.02,https://www.topcpu.net/cpu/mediatek-helio-g36
232,MediaTek Helio G37,43,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g37
233,MediaTek Helio G50,43,8C @ 2200MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/mediatek-helio-g50
234,MediaTek Helio A25,41,8C @ 1800MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/mediatek-helio-a25
235,MediaTek Helio G25,41,8C @ 2000MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g25
236,MediaTek Helio P22,41,8C @ 2000MHz  - 2018.05,2018.05,https://www.topcpu.net/cpu/mediatek-helio-p22
237,Samsung Exynos 850,39,8C @ 2000MHz  - 2020.05,2020.05,https://www.topcpu.net/cpu/samsung-exynos-850
238,Samsung Exynos 7872,38,6C @ 2000MHz  - 2018.01,2018.01,https://www.topcpu.net/cpu/samsung-exynos-7872
239,MediaTek MT6750,33,8C @ 1500MHz  - 2016.08,2016.08,https://www.topcpu.net/cpu/mediatek-mt6750
240,MediaTek MT6753,33,8C @ 1300MHz  - 2015.03,2015.03,https://www.topcpu.net/cpu/mediatek-mt6753
241,Qualcomm Snapdragon 429,28,4C @ 2000MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-429
242,Qualcomm Snapdragon 425,24,4C @ 1400MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-425
243,Samsung Exynos 7870,22,8C @ 1600MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/samsung-exynos-7870
244,MediaTek Helio A22,20,4C @ 2000MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/mediatek-helio-a22
245,MediaTek MT6737,20,4C @ 1300MHz  - 2016.01,2016.01,https://www.topcpu.net/cpu/mediatek-mt6737
246,Samsung Exynos 7570,20,4C @ 1400MHz  - 2016.08,2016.08,https://www.topcpu.net/cpu/samsung-exynos-7570
247,MediaTek MT6739,9,4C @ 1500MHz  - 2017.09,2017.09,https://www.topcpu.net/cpu/mediatek-mt6739
248,MediaTek MT6580,4,4C @ 1300MHz  - 2016.01,2016.01,https://www.topcpu.net/cpu/mediatek-mt6580
