排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
506,Intel Xeon W-1370P,2157,8,16,3.6GHz,2021.05,https://www.topcpu.net/cpu/xeon-w-1370p
507,Intel Xeon E-2336,2156,6,12,2.9GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2336
508,Intel Processor U300,2156,5,6,1.2GHz,2023.01,https://www.topcpu.net/cpu/intel-processor-u300
509,Intel Xeon w3-2535,2156,10,20,3.5GHz,2024.08,https://www.topcpu.net/cpu/xeon-w3-2535
510,Intel Core i9 11900,2152,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900
511,Intel Processor 300,2152,2,4,3.9GHz,2023.10,https://www.topcpu.net/cpu/intel-processor-300
512,AMD Ryzen 5 Pro 7540U,2152,6,12,3.2GHz,2023.06,https://www.topcpu.net/cpu/amd-ryzen-5-pro-7540u
513,Intel Xeon Gold 6418H,2151,24,48,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6418h
514,Intel Xeon 654,2148,18,36,3.1GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-654
515,Intel Core i5-14401TE,2147,6,12,2GHz,2024.07,https://www.topcpu.net/cpu/intel-core-i5-14401te
516,Intel Core Ultra 5 134U,2146,12,14,0.7GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-134u
517,Intel Xeon Gold 5420+,2145,28,56,2GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-5420
518,Intel Core i7 11700F,2144,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700f
519,AMD EPYC 9454P,2144,48,96,2.75GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9454p
520,AMD EPYC Embedded 9454P,2144,48,96,2.75GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9454p
521,Intel Core i3 12100T,2144,4,8,2.2GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100t
522,Intel Core i3 13100F,2140,4,8,3.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-13100f
