排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
93,AMD Ryzen 9 7900X3D,122,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
94,Intel Core i9 13950HX,122,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13950hx
95,Intel Core Ultra 7 258V,122,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-258v
96,Intel Core i7 14700HX,122,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700hx
97,Intel Core Ultra 5 336H,122,12,12,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-336h
98,Apple M2 Max,121,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-max
99,Intel Core i9 13900F,121,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900f
100,Intel Core i9 13900,121,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
101,AMD Ryzen AI 9 HX 375,121,12,24,2.0GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-375
102,AMD Ryzen AI 9 HX 475,121,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-475
103,AMD Ryzen AI 9 HX 470,121,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-470
104,Apple M2,120,8,8,3.5GHz,2022.06,https://www.topcpu.net/cpu/apple-m2
105,AMD Ryzen 9 7950X,120,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
106,Intel Core Ultra 7 256V,120,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-256v
107,Intel Core Ultra 7 356H,120,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-356h
108,Intel Core Ultra 9 386H,120,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-386h
109,AMD Ryzen AI 7 450,120,8,16,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-450
110,Qualcomm Snapdragon X2 Plus (X2P 64 100),120,10,10,3.4GHz,2026.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-plus-x2p-64-100
111,AMD Ryzen 9 7900X,119,12,24,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-9-7900x
112,Intel Core Ultra 5 225F,119,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225f
113,Qualcomm Snapdragon X2 Plus (X2P 42 100),119,6,6,3.4GHz,2026.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-plus-x2p-42-100
114,Intel Core i7 13700F,118,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700f
115,Intel Core i7 13700,118,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700
116,Intel Core Ultra 5 236V,118,8,8,2.1GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-5-236v
117,Intel Core Ultra 5 238V,118,8,8,2.1GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-5-238v
118,AMD Ryzen AI 7 350,118,8,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-350
119,Intel Core i9 13980HX,117,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13980hx
120,AMD Ryzen 9 7950X3D,117,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
121,AMD Ryzen 7 7700X,117,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
122,Intel Core Ultra 7 266V,117,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-266v
123,AMD Ryzen AI Max+ Pro 395,117,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-395
124,AMD Ryzen AI 5 340,117,6,12,2.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-5-340
125,Intel Core i5 13600KF,116,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600kf
126,Intel Core i7 14650HX,116,16,24,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14650hx
127,AMD Ryzen AI Max+ 395,116,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-395
128,Intel Core i5 13600K,115,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600k
129,AMD Ryzen 5 7600X,115,6,12,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x
130,Intel Core i9 13900H,115,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900h
131,Intel Core i9 13900HK,115,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
132,Intel Core i9 13900HX,115,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hx
133,Intel Core Ultra 7 255H,115,16,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255h
134,AMD Ryzen 9 7945HX3D,115,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
135,Intel Core 9 270H,115,14,20,2.7GHz,2024.12,https://www.topcpu.net/cpu/intel-core-9-270h
136,AMD Ryzen 5 9500F,115,6,12,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-5-9500f
137,AMD Ryzen AI 9 465,115,10,20,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-465
138,Apple M1 Ultra,114,20,20,3.2GHz,2022.03,https://www.topcpu.net/cpu/apple-m1-ultra
139,Intel Core i7 12700K,114,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
140,AMD Ryzen 9 7945HX,114,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
141,Intel Core i7 13700HX,114,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700hx
142,Intel Core i7 12700KF,114,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
