排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
97,Intel Core Ultra X9 388H,1324,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x9-388h
98,AMD Ryzen 7 9800X3D,1321,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
99,Qualcomm Snapdragon X2 Elite (X2E 84 100),1313,12,12,3.4GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-84-100
100,AMD Ryzen 7 9700F,1309,8,16,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-7-9700f
101,Intel Core Ultra 5 235HX,1302,14,14,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235hx
102,Intel Core i5 13600KF,1282,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600kf
103,Intel Core i5 13600K,1276,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600k
104,Intel Core i7 13850HX,1265,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
105,Intel Core i7 14650HX,1240,16,24,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14650hx
106,AMD Ryzen 9 Pro 9945,1230,12,24,3.4GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-9-pro-9945
107,Intel Core Ultra 5 235,1227,14,14,3.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-235
108,Qualcomm Snapdragon X Elite,1220,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite
109,AMD Ryzen 9 5900X,1189,12,24,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5900x
110,Intel Core i5 13500,1187,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
111,Intel Core i7 12700KF,1175,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
112,AMD Ryzen 7 Pro 9745,1175,8,16,3.8GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-pro-9745
113,Intel Core i7 12700K,1172,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
114,Apple M5 (8-core GPU),1170,10,10,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-8-core-gpu
115,Intel Core Ultra X7 368H,1157,16,16,20GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-368h
116,Intel Core Ultra 9 285H,1154,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
117,AMD Ryzen AI 9 HX 370,1152,12,24,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-370
118,Qualcomm Snapdragon X Elite (X1E-00-1DE),1150,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-00-1de
119,Intel Core Ultra X7 358H,1125,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-358h
120,AMD Ryzen 7 9700X,1115,8,16,3.8GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-7-9700x
121,Intel Core Ultra 7 255H,1102,16,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255h
122,Intel Core i7 13700T,1095,16,24,1.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700t
123,AMD Ryzen 7 7800X3D,1093,8,16,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7800x3d
124,Intel Core Ultra 7 356H,1085,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-356h
125,AMD Ryzen 7 7700X,1078,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
126,AMD Ryzen 9 3900XT,1074,12,24,3.8GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-9-3900xt
127,Apple M5 (10-Core),1071,10,10,4.6GHz,2025.10,https://www.topcpu.net/cpu/apple-m5-10-core
128,AMD Ryzen AI 9 HX 475,1069,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-475
129,Apple M3 Pro,1058,12,12,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-pro
130,AMD Ryzen AI 9 HX 470,1056,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-470
131,AMD Ryzen 7 7700,1051,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7700
132,Apple M2 Max,1050,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-max
133,Intel Core Ultra 9 185H,1046,16,22,2.3GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-9-185h
134,AMD Ryzen AI 9 365,1043,10,20,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-365
135,Qualcomm Snapdragon X Elite (X1E-84-100),1034,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-84-100
136,Intel Core Ultra 7 265H,1033,16,16,2.2GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-265h
137,AMD Ryzen AI 9 465,1027,10,20,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-465
138,AMD Ryzen AI 9 HX 375,1009,12,24,2.0GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-375
139,Intel Core i7 12700F,1004,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700f
140,Intel Core i7 12700,1004,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700
141,Intel Core Ultra 5 338H,1000,12,12,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-338h
142,Intel Core Ultra 9 386H,998,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-386h
143,AMD Ryzen 7 8700G,990,8,16,4.3GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-7-8700g
144,AMD Ryzen 9 PRO 8945HS,988,8,16,4GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-9-pro-8945hs
145,Intel Core Ultra 5 336H,988,12,12,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-336h
146,Intel Core i9 13900HK,987,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
147,AMD Ryzen 7 8700F,986,8,16,4.1GHz,2024.05,https://www.topcpu.net/cpu/amd-ryzen-7-8700f
148,AMD Ryzen 9 3900X,982,12,24,3.8GHz,2019.07,https://www.topcpu.net/cpu/amd-ryzen-9-3900x
149,Apple M4 10 Core,977,10,10,4.41GHz,2024.05,https://www.topcpu.net/cpu/apple-m4-10-core
150,AMD Ryzen 9 8945HS,975,8,16,4.0GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-9-8945hs
151,AMD Ryzen 5 Pro 9645,969,6,12,3.9GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-5-pro-9645
152,AMD Ryzen Threadripper 1950X,964,16,32,3.4GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1950x
153,Intel Core i9 13900H,951,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900h
154,Intel Core Ultra 7 165H,947,16,22,1.4GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-165h
155,AMD Ryzen 7 7840H,941,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7840h
156,Intel Core Ultra 5 225,940,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225
157,Intel Core i9 10900KF,936,10,20,3.7GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900kf
158,Intel Core i9 10900K,936,10,20,3.7GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900k
159,Intel Core Ultra 5 225F,931,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225f
160,Intel Core Ultra 5 235H,930,14,14,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235h
161,AMD Ryzen 7 7745HX,929,8,16,3.6GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7745hx
162,Qualcomm Snapdragon X Elite (X1E-80-100),928,12,12,3.4GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-80-100
163,AMD Ryzen AI 7 450,926,8,16,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-450
164,AMD Ryzen 7 H 255,923,8,16,3.8GHz,2025.08,https://www.topcpu.net/cpu/amd-ryzen-7-h-255
