排名,名称,跑分,规格,上市时间,详情页
24,ASUS RT-AX89X,20240,IPQ8074 4C @ 2.2 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-ax89x
25,Xiaomi BE10000 Pro,19440,IPQ5424 4C @ 1.8 GHz 2GiB  - 2025.09,2025.09,https://www.topcpu.net/cpu/xiaomi-be10000-pro
26,Xiaomi BE7200 Pro,19440,IPQ5424 4C @ 1.8 GHz 1GiB  - 2026.05,2026.05,https://www.topcpu.net/cpu/xiaomi-be7200-pro
27,Redmi AX6E (AX6000),18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/redmi-ax6e
28,ASUS TUF-AX6000,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/asus-tuf-ax6000
29,ASUS TUF-AX4200,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/asus-tuf-ax4200
30,ASUS RT-AX59U,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/asus-rt-ax59u
31,Netgear RAX120 (Nighthawk AX12),18400,IPQ8074 4C @ 2.0 GHz 1GiB  - 2018.11,2018.11,https://www.topcpu.net/cpu/netgear-rax120
32,ROG Rapture GT-AX11000 Pro,18400,BCM4912 4C @ 2.0 GHz 1GiB  - 2022.12,2022.12,https://www.topcpu.net/cpu/rog-rapture-gt-ax11000-pro
33,ASUS GT-AX6000 v2,18400,BCM4912 4C @ 2.0 GHz 1GiB  - 2021.11,2021.11,https://www.topcpu.net/cpu/asus-gt-ax6000-v2
34,ROG Rapture GT-AXE16000,18400,BCM4912 4C @ 2.0 GHz 2GiB  - 2022.05,2022.05,https://www.topcpu.net/cpu/rog-rapture-gt-axe16000
35,TP-LINK TL-XTR8488,18400,MT7986A 4C @ 2.0 GHz 1GiB,,https://www.topcpu.net/cpu/tplink-tl-xtr8488
36,TP-LINK TL-XDR6088,18400,MT7986AV 4C @ 2.0 GHz 512MiB  - 2022.06,2022.06,https://www.topcpu.net/cpu/tplink-tl-xdr6088
37,TP-LINK TL-XDR6086,18400,MT7986AV 4C @ 2.0 GHz 512MiB  - 2022.08,2022.08,https://www.topcpu.net/cpu/tplink-tl-xdr6086
38,TP-LINK TL-XDR4288 v1,18400,MT7986AV 4C @ 2.0 GHz 512MiB  - 2022.09,2022.09,https://www.topcpu.net/cpu/tplink-tl-xdr4288-v1
39,ASUS GT-AC5400,18400,IPQ8074 4C @ 2.0 GHz 1GiB,,https://www.topcpu.net/cpu/rog-rapture-gt-ac5400
40,Ruijie RG-X60 PRO,18400,MT7986A 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/ruijie-rg-x60-pro
41,Acer Predator Connect W6,18400,MT7986A 4C @ 2.0 GHz 1GiB  - 2023.02,2023.02,https://www.topcpu.net/cpu/acer-predator-connect-w6
42,TP-LINK Archer AX80,18400,MT7986AV 4C @ 2.0 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-archer-ax80
43,ASUS RT-BE59,18400,MT7987AV 4C @ 2.0 GHz 1GiB  - 2025.11,2025.11,https://www.topcpu.net/cpu/asus-rt-be59
44,GL.iNet GL-MT3600BE(Beryl 7),18400,MT7987A 4C @ 2.0 GHz 512MiB  - 2025.12,2025.12,https://www.topcpu.net/cpu/gl.inet-gl-mt3600be
45,GL.iNet GL-MT6000(Flint 2),18400,MT7986AV 4C @ 2.0 GHz 1GiB  - 2023.12,2023.12,https://www.topcpu.net/cpu/gl.inet-gl-mt6000
46,Netgear RAX200 (Nighthawk Tri-Band AX12),16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2019.08,2019.08,https://www.topcpu.net/cpu/netgear-rax200
47,Netgear RAX80 (Nighthawk AX8),16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2018.11,2018.11,https://www.topcpu.net/cpu/netgear-rax80
48,Netgear RAX75 (Nighthawk AX8),16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2019.07,2019.07,https://www.topcpu.net/cpu/netgear-rax75
49,ROG Rapture GT-AX11000,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2018.11,2018.11,https://www.topcpu.net/cpu/rog-rapture-gt-ax11000
50,ASUS RT-AX95U,16560,BCM4908 4C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-ax95u
51,ASUS RT-AX88U,16560,BCM49408 4C @ 1.8 GHz 1GiB  - 2018.10,2018.10,https://www.topcpu.net/cpu/asus-rt-ax88u
52,ASUS RT-AX86U,16560,BCM4908 4C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-ax86u
53,ROG Rapture GT-AXE11000,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2021.01,2021.01,https://www.topcpu.net/cpu/rog-rapture-gt-axe11000
54,TP-LINK TL-XDR6060,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2020.03,2020.03,https://www.topcpu.net/cpu/tplink-tl-xdr6060
55,TP-LINK Archer AX6000,16560,BCM4908 4C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/tplink-archer-ax6000
56,TP-LINK Archer AX11000,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2019.01,2019.01,https://www.topcpu.net/cpu/tplink-archer-ax11000
57,TP-LINK Archer A20,16560,BCM4908 4C @ 1.8 GHz 512MiB  - 2019.03,2019.03,https://www.topcpu.net/cpu/tplink-archer-a20
58,ASUS GT-AC5300,16560,BCM4908 4C @ 1.8 GHz 1GiB  - 2017.04,2017.04,https://www.topcpu.net/cpu/rog-rapture-gt-ac5300
59,TP-LINK Archer BE230,15200,BCM6764 4C @ 2.0 GHz 512MiB  - 2024.06,2024.06,https://www.topcpu.net/cpu/tplink-archer-be230
60,ASUS RT-BE92U,15200,BCM6765 4C @ 2.0 GHz 1GiB  - 2024.11,2024.11,https://www.topcpu.net/cpu/asus-rt-be92u
61,ASUS TUF Gaming BE3600,15200,BCM6764L 4C @ 2.0 GHz 1GiB  - 2024.04,2024.04,https://www.topcpu.net/cpu/asus-tuf-be3600
62,ASUS RT-BE82U,15200,BCM6764L 4C @ 2.0 GHz 1GiB  - 2025.06,2025.06,https://www.topcpu.net/cpu/asus-rt-be82u
63,ASUS RT-BE58U,15200,BCM6764L 4C @ 2.0 GHz 1GiB  - 2024.06,2024.06,https://www.topcpu.net/cpu/asus-rt-be58u
64,ASUS RT-BE55,15200,BCM6764 4C @ 2.0 GHz 512MiB  - 2025.11,2025.11,https://www.topcpu.net/cpu/asus-rt-be55
65,ASUS ROG STRIX GS BE18000,15200,BCM6766 4C @ 2.0 GHz 2GiB  - 2025.05,2025.05,https://www.topcpu.net/cpu/rog-strix-gs-be18000
66,ASUS RT-BE58 Go,15200,BCM6764 4C @ 2.0 GHz 1GiB  - 2025.11,2025.11,https://www.topcpu.net/cpu/asus-rt-be58-go
67,TP-LINK TL-XDR6020,14720,MT7986B 4C @ 1.6 GHz 512MiB  - 2022.01,2022.01,https://www.topcpu.net/cpu/tplink-tl-xdr6020
68,TP-LINK TL-XDR6010,14720,MT7986B 4C @ 1.6 GHz 512MiB  - 2022.11,2022.11,https://www.topcpu.net/cpu/tplink-tl-xdr6010
69,TP-LINK TL-XDR6010 v2,14720,MT7986B 4C @ 1.6 GHz 512MiB  - 2023.12,2023.12,https://www.topcpu.net/cpu/tplink-tl-xdr6010-v2
70,Xiaomi BE6500 Pro,13800,IPQ5322 4C @ 1.5 GHz 1GiB  - 2023.10,2023.10,https://www.topcpu.net/cpu/xiaomi-be6500-pro
71,TP-LINK TL-7DR6560,13800,IPQ5322 4C @ 1.5 GHz 1GiB  - 2024.01,2024.01,https://www.topcpu.net/cpu/tplink-tl-7dr6560
72,Huawei BE7 Pro,13800,IPQ5322 4C @ 1.5 GHz 512MiB  - 2024.09,2024.09,https://www.topcpu.net/cpu/huawei-be7-pro
73,Acer Predator Connect T7,13800,IPQ5322 4C @ 1.5 GHz 1GiB  - 2024.06,2024.06,https://www.topcpu.net/cpu/acer-predator-connect-t7
74,ASUS TUF Gaming BE6500,13800,IPQ5322 4C @ 1.5 GHz 1GiB  - 2024.04,2024.04,https://www.topcpu.net/cpu/asus-tuf-be6500
75,ASUS TUF Gaming BE9400,13800,IPQ5322 4C @ 1.5 GHz 1GiB  - 2025.05,2025.05,https://www.topcpu.net/cpu/asus-tuf-be9400
76,GL.iNet GL-BE9300 (Flint 3),13800,IPQ5332 4C @ 1.5 GHz 1GiB  - 2025.08,2025.08,https://www.topcpu.net/cpu/gl.inet-gl-be9300
77,GL.iNet GL-BE6500(Flint 3e),13800,IPQ5332 4C @ 1.5 GHz 1GiB  - 2025.11,2025.11,https://www.topcpu.net/cpu/gl.inet-gl-be6500
78,ASUS RT-AXE7800,12920,BCM6756 4C @ 1.7 GHz 512MiB,,https://www.topcpu.net/cpu/asus-rt-axe7800
79,ASUS TUF-AX3000 v2,12920,BCM6756 4C @ 1.7 GHz 512MiB  - 2022.06,2022.06,https://www.topcpu.net/cpu/asus-tuf-ax3000-v2
80,Huawei BE3 Pro,12880,Hi5651T 4C @ 1.4 GHz 512MiB  - 2023.09,2023.09,https://www.topcpu.net/cpu/huawei-be3-pro
81,Huawei AX6 Pro,12880,Hi5651T 4C @ 1.4 GHz 256MiB  - 2024.02,2024.02,https://www.topcpu.net/cpu/huawei-ax6-pro
82,Huawei AX3 Pro,12880,Hi5651T 4C @ 1.4 GHz 256MiB  - 2021.09,2021.09,https://www.topcpu.net/cpu/huawei-ax3-pro
83,Netgear RAX20 (Nighthawk AX4),11400,BCM6755 4C @ 1.5 GHz 512MiB  - 2019.11,2019.11,https://www.topcpu.net/cpu/netgear-rax20
