排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
146,Intel Core i5 13600HX,20233,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600hx
147,Intel Core i7 13700HX,20227,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700hx
148,Qualcomm Snapdragon X2 Elite X2E-88-100,20200,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-88-100
149,AMD Ryzen AI 9 465,20059,10,20,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-465
150,AMD Ryzen 7 7700X,20001,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
151,AMD Ryzen 9 Pro 9945,19948,12,24,3.4GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-9-pro-9945
152,Intel Core i9 13905H,19937,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13905h
153,Intel Core i7 12800HX,19921,16,24,2.0GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12800hx
154,AMD Ryzen 7 7700,19910,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7700
155,Intel Core Ultra 5 235HX,19857,14,14,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235hx
156,Intel Core i7 12700F,19795,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700f
157,AMD Ryzen AI 9 365,19766,10,20,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-365
158,AMD Ryzen Threadripper 1950X,19635,16,32,3.4GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1950x
159,AMD Ryzen 7 9700X,19539,8,16,3.8GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-7-9700x
160,Intel Core i7 13800H,19054,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13800h
161,Intel Core i5 14500HX,19041,14,20,2.6GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14500hx
