排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
106,Intel Core i5 14600KF,23983,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600kf
107,Intel Core i5 14600,23945,14,20,2.7GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14600
108,Intel Core i5 13600K,23847,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600k
109,Intel Core i5 13600KF,23847,14,20,3.5GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i5-13600kf
110,AMD Ryzen AI 9 HX 370,23783,12,24,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-370
111,Intel Core i7 14650HX,23782,16,24,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14650hx
112,Intel Core Ultra X7 368H,23725,16,16,20GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-368h
113,Apple M4 Pro 14 Core,23446,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
114,AMD Ryzen 7 9800X3D,23349,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
115,AMD Ryzen 7 9850X3D,23192,8,16,4.7GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-9850x3d
116,Apple M1 Ultra,23054,20,20,3.2GHz,2022.03,https://www.topcpu.net/cpu/apple-m1-ultra
117,Qualcomm Snapdragon X2 Elite Extreme (X2E-94-100),23013,18,18,3.6GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-94-100
118,Apple M4 Max 14 Core,22854,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
119,Intel Core i9 12900T,22804,16,24,1.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900t
120,Intel Core i7 12700K,22801,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
121,Intel Core i7 12700KF,22801,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
122,Intel Core Ultra 5 235,22685,14,14,3.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-235
123,Apple M5 Pro (15-Core),22591,15,15,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-15-core
124,AMD Ryzen 7 7800X,22550,8,16,4.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7800x
125,Intel Core Ultra 9 285H,22192,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
126,Intel Core i9 7960X,22189,16,32,2.8GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7960x
127,AMD Ryzen AI 9 HX 475,22180,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-475
128,Intel Core i7 14700HX,22166,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700hx
129,AMD Ryzen AI 9 HX 470,22140,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-470
130,Intel Core i5 13600,22103,14,20,2.7GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600
131,AMD Ryzen 9 5900X,22046,12,24,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5900x
132,Intel Core i5 14500,21949,14,20,2.6GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14500
133,AMD Ryzen AI 9 HX 375,21724,12,24,2.0GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-375
134,Intel Core i9 12950HX,21471,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12950hx
135,Intel Core i9 10940X,21309,14,28,3.3GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10940x
136,Intel Core i5 13500,21093,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
137,Intel Core Ultra X7 358H,21056,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-358h
138,Intel Core i9 12900HX,20977,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12900hx
139,Intel Core i7 13650HX,20973,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13650hx
140,Intel Core Ultra 5 245HX,20937,14,14,3.1GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-245hx
141,AMD Ryzen 9 5900,20887,12,24,3.0GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900
142,Intel Core i9 13900HK,20855,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
143,Intel Core i7 12700,20599,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700
144,AMD Ryzen 7 9700F,20598,8,16,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-7-9700f
145,Intel Core Ultra 7 255H,20521,16,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255h
