排名,名称,跑分,规格,上市时间,详情页
20,Qualcomm Snapdragon 8 Gen 3,2079542,8C @ 3300MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-3
21,Mediatek Dimensity 9300,2073613,8C @ 3250MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/mediatek-dimensity-9300
22,MediaTek Dimensity 9300 Plus,2056289,8C @ 3400MHz  - 2024.05,2024.05,https://www.topcpu.net/cpu/mediatek-dimensity-9300-plus
23,Apple A19,1916678,6C @ 4260MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/apple-a19
24,Apple A18 Pro,1890277,6C @ 4050MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/apple-a18-pro
25,Samsung Exynos 2400e,1773931,10C @ 3110MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/samsung-exynos-2400e
26,HiSilicon Kirin 9030 Pro,1750729,8C @ 2750MHz  - 2025.11,2025.11,https://www.topcpu.net/cpu/hisilicon-kirin-9030-pro
27,Apple M1 iPad,1709057,8C @ 3200MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/apple-m1-ipad
28,MediaTek Dimensity 8450,1675507,8C @ 3250MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-8450
29,Samsung Exynos 2400,1648252,10C @ 3210MHz  - 2024.01,2024.01,https://www.topcpu.net/cpu/samsung-exynos-2400
30,MediaTek Dimensity 8400,1623874,8C @ 3250MHz  - 2024.12,2024.12,https://www.topcpu.net/cpu/mediatek-dimensity-8400
31,Apple A18,1622118,6C @ 4050MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/apple-a18
32,MediaTek Dimensity 8300,1549153,8C @ 3350MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/mediatek-dimensity-8300
33,MediaTek Dimensity 9200 Plus,1548868,8C @ 3350MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-9200-plus
34,Apple A17 Pro,1544984,6C @ 3780MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/apple-a17-pro
