排名,名称,跑分,显存容量,显存类型,上市时间,详情页
81,NVIDIA Tesla M40 24 GB,130,24GB,GDDR5,2015.11,https://www.topcpu.net/cpu/tesla-m40-24-gb
82,NVIDIA GeForce GTX 1070 Ti,128,8GB,GDDR5,2017.11,https://www.topcpu.net/cpu/geforce-gtx-1070-ti
83,NVIDIA GeForce GTX 1660 SUPER,127,6GB,GDDR6,2019.10,https://www.topcpu.net/cpu/geforce-gtx-1660-super
84,NVIDIA Quadro P5200 Max Q,126,16GB,GDDR5,2018.02,https://www.topcpu.net/cpu/quadro-p5200-max-q
85,NVIDIA GeForce GTX 1660 Ti,126,6GB,GDDR6,2019.02,https://www.topcpu.net/cpu/geforce-gtx-1660-ti
86,NVIDIA P104 100,124,4GB,GDDR5X,2017.12,https://www.topcpu.net/cpu/p104-100
87,NVIDIA Tesla M40,123,12GB,GDDR5,2015.11,https://www.topcpu.net/cpu/tesla-m40
88,NVIDIA Quadro M6000 24 GB,122,24GB,GDDR5,2016.03,https://www.topcpu.net/cpu/quadro-m6000-24-gb
89,NVIDIA Quadro P5000 Mobile,118,16GB,GDDR5,2017.01,https://www.topcpu.net/cpu/quadro-p5000-mobile
90,NVIDIA Quadro RTX 5000 Max Q,117,16GB,GDDR6,2019.05,https://www.topcpu.net/cpu/quadro-rtx-5000-max-q
91,NVIDIA GeForce GTX 1070 GDDR5X,115,8GB,GDDR5X,2018.12,https://www.topcpu.net/cpu/geforce-gtx-1070-gddr5x
92,NVIDIA GeForce GTX 1070 Max Q,112,8GB,GDDR5,2017.06,https://www.topcpu.net/cpu/geforce-gtx-1070-max-q
93,NVIDIA GeForce GTX 1660,112,6GB,GDDR5,2019.03,https://www.topcpu.net/cpu/geforce-gtx-1660
94,NVIDIA GeForce GTX 1660 Ti Max Q,111,6GB,GDDR6,2019.04,https://www.topcpu.net/cpu/geforce-gtx-1660-ti-max-q
95,NVIDIA GeForce GTX TITAN BLACK,103,6GB,GDDR5,2014.02,https://www.topcpu.net/cpu/geforce-gtx-titan-black
96,NVIDIA GeForce GTX 780 Ti,103,3GB,GDDR5,2013.11,https://www.topcpu.net/cpu/geforce-gtx-780-ti
97,NVIDIA Tesla P6,95,16GB,GDDR5,2017.03,https://www.topcpu.net/cpu/tesla-p6
98,NVIDIA GeForce GTX 1650 SUPER,93,4GB,GDDR6,2019.11,https://www.topcpu.net/cpu/geforce-gtx-1650-super
99,NVIDIA GeForce GTX TITAN X,88,12GB,GDDR5,2015.03,https://www.topcpu.net/cpu/geforce-gtx-titan-x
100,NVIDIA GeForce GTX 780,88,3GB,GDDR5,2013.05,https://www.topcpu.net/cpu/geforce-gtx-780
101,NVIDIA Quadro P4000,88,8GB,GDDR5,2017.02,https://www.topcpu.net/cpu/quadro-p4000
102,NVIDIA Quadro M5000,87,8GB,GDDR5,2015.06,https://www.topcpu.net/cpu/quadro-m5000
103,NVIDIA Tesla P4,85,8GB,GDDR5,2016.09,https://www.topcpu.net/cpu/tesla-p4
104,NVIDIA Quadro P3200 Max Q,85,6GB,GDDR5,2018.02,https://www.topcpu.net/cpu/quadro-p3200-max-q
105,NVIDIA RTX A2000 Mobile,84,4GB,GDDR6,2021.04,https://www.topcpu.net/cpu/rtx-a2000-mobile
106,NVIDIA Quadro K6000,82,12GB,GDDR5,2013.07,https://www.topcpu.net/cpu/quadro-k6000
107,NVIDIA Tesla M60,81,8GB,GDDR5,2015.08,https://www.topcpu.net/cpu/tesla-m60
108,NVIDIA GeForce GTX 970,77,4GB,GDDR5,2014.09,https://www.topcpu.net/cpu/geforce-gtx-970
109,NVIDIA GeForce GTX 1060 3 GB,76,3GB,GDDR5,2016.08,https://www.topcpu.net/cpu/geforce-gtx-1060-3-gb
110,NVIDIA GeForce GTX 1060 6 GB GDDR5X,75,6GB,GDDR5X,2018.10,https://www.topcpu.net/cpu/geforce-gtx-1060-6-gb-gddr5x
111,NVIDIA GeForce GTX 1650 GDDR6,73,4GB,GDDR6,2020.04,https://www.topcpu.net/cpu/geforce-gtx-1650-gddr6
112,NVIDIA T1000 8 GB,73,8GB,GDDR6,2021.05,https://www.topcpu.net/cpu/t1000-8-gb
113,NVIDIA Quadro T2000 Max Q,71,4GB,GDDR5,2019.05,https://www.topcpu.net/cpu/quadro-t2000-max-q
114,NVIDIA Quadro T1000 Mobile GDDR6,71,4GB,GDDR6,2020.06,https://www.topcpu.net/cpu/quadro-t1000-mobile-gddr6
115,NVIDIA T1000,71,4GB,GDDR6,2021.05,https://www.topcpu.net/cpu/t1000
116,NVIDIA RTX A500 Mobile,69,4GB,GDDR6,2022.03,https://www.topcpu.net/cpu/rtx-a500-mobile
117,NVIDIA Quadro M4000M,68,4GB,GDDR5,2015.08,https://www.topcpu.net/cpu/quadro-m4000m
118,NVIDIA Tesla K40m,68,12GB,GDDR5,2013.11,https://www.topcpu.net/cpu/tesla-k40m
119,NVIDIA GeForce GTX 1650 Max Q,67,4GB,GDDR6,2020.04,https://www.topcpu.net/cpu/geforce-gtx-1650-max-q
120,NVIDIA GeForce GTX 980MX,64,8GB,GDDR5,2016.06,https://www.topcpu.net/cpu/geforce-gtx-980mx
121,NVIDIA GeForce RTX 2050 Mobile,64,4GB,GDDR6,2021.12,https://www.topcpu.net/cpu/geforce-rtx-2050-mobile
122,NVIDIA Tesla K20Xm,63,6GB,GDDR5,2012.11,https://www.topcpu.net/cpu/tesla-k20xm
123,NVIDIA Quadro P2200,63,5GB,GDDR5X,2019.06,https://www.topcpu.net/cpu/quadro-p2200
124,NVIDIA GeForce GTX 1650 Ti Max Q,62,4GB,GDDR6,2020.04,https://www.topcpu.net/cpu/geforce-gtx-1650-ti-max-q
125,NVIDIA Tesla K80,62,12GB,GDDR5,2014.11,https://www.topcpu.net/cpu/tesla-k80
126,NVIDIA Quadro M5000M,61,8GB,GDDR5,2015.08,https://www.topcpu.net/cpu/quadro-m5000m
127,NVIDIA GeForce GTX 1060 Max Q,61,6GB,GDDR5,2017.06,https://www.topcpu.net/cpu/geforce-gtx-1060-max-q
128,NVIDIA Quadro P3000 Mobile,56,6GB,GDDR5,2017.01,https://www.topcpu.net/cpu/quadro-p3000-mobile
129,NVIDIA Quadro M4000,56,8GB,GDDR5,2015.06,https://www.topcpu.net/cpu/quadro-m4000
130,NVIDIA Tesla K20c,55,5GB,GDDR5,2012.11,https://www.topcpu.net/cpu/tesla-k20c
131,NVIDIA Quadro T1000 Max Q,55,4GB,GDDR5,2019.05,https://www.topcpu.net/cpu/quadro-t1000-max-q
132,NVIDIA Quadro P2000 Mobile,54,75GB,GDDR5,2019.02,https://www.topcpu.net/cpu/quadro-p2000-mobile
133,NVIDIA T600,53,4GB,GDDR6,2021.04,https://www.topcpu.net/cpu/t600
134,NVIDIA GeForce GTX 970M,53,3GB,GDDR5,2014.10,https://www.topcpu.net/cpu/geforce-gtx-970m
