排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
150,Intel Core i9 10920X,26244,12,24,3.5GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10920x
151,Apple M2 Max,26232,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-max
152,Intel Core i5 13400,26079,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400
153,AMD Ryzen 5 7600X3D,26047,6,12,4.1GHz,2024.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x3d
154,Intel Core i7 13620H,25905,10,16,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13620h
155,AMD Ryzen 7 5800,25830,8,16,3.4GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-7-5800
156,Intel Core i5 13400F,25725,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400f
157,Intel Core i5 14400F,25659,10,16,2.5GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14400f
158,AMD Ryzen 5 7400F,25589,6,12,3.7GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-5-7400f
159,Intel Core i5 14450HX,25545,10,16,2.4GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14450hx
160,Intel Core i5 13600H,25415,12,16,2.8GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600h
161,Intel Core i9 11900K,25343,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900k
162,AMD Ryzen 5 8600G,25316,6,12,4.3GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8600g
163,Intel Core i9 11900KF,25246,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900kf
164,Apple M3 Pro,25201,12,12,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-pro
165,AMD Ryzen Z1 Extreme,25181,8,16,3.3GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-z1-extreme
166,Intel Core i9 9920X,25060,12,24,3.5GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9920x
167,AMD Ryzen 7 7840U,24968,8,16,3.3GHz,2023.05,https://www.topcpu.net/cpu/amd-ryzen-7-7840u
168,Intel Core Ultra 7 155H,24927,16,22,1.4GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-155h
169,Intel Core i7 11700K,24667,8,16,3.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700k
170,AMD Ryzen Threadripper 2920X,24659,12,24,3.5GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2920x
171,AMD Ryzen 7 5700G,24540,8,16,3.8GHz,2021.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700g
172,Intel Core i7 12650H,24516,10,16,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12650h
173,AMD Ryzen 9 6900HX,24494,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hx
174,Intel Core i7 12800H,24411,14,20,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12800h
175,AMD Ryzen Z2 Extreme,24157,8,16,2.0GHz,2025.06,https://www.topcpu.net/cpu/amd-ryzen-z2-extreme
176,Apple M4 10 Core,24138,10,10,4.41GHz,2024.05,https://www.topcpu.net/cpu/apple-m4-10-core
177,Intel Core i7 11700KF,24052,8,16,3.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700kf
178,AMD Ryzen 7 7735HS,23921,8,16,3.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7735hs
179,AMD Ryzen 9 6900HS,23895,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hs
180,AMD Ryzen 7 7435HS,23830,8,16,3.1GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-7-7435hs
181,Intel Core Ultra 5 235H,23826,14,14,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235h
182,Intel Core i5 12600HX,23777,12,16,2.5GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i5-12600hx
183,AMD Ryzen 7 6800H,23657,8,16,3.2GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-7-6800h
184,Qualcomm Snapdragon X Elite (X1E-84-100),23592,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-84-100
185,AMD Ryzen 7 3800XT,23540,8,16,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-7-3800xt
186,Qualcomm Snapdragon X Elite (X1E-80-100),23519,12,12,3.4GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-80-100
187,Qualcomm Snapdragon X Elite (X1E-78-100),23475,12,12,3.4GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-78-100
188,Intel Core i9 7920X,23468,12,24,2.9GHz,2017.08,https://www.topcpu.net/cpu/intel-core-i9-7920x
189,AMD Ryzen 9 5980HX,23374,8,16,3.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5980hx
190,AMD Ryzen 5 8400F,23127,6,12,4.2GHz,2024.05,https://www.topcpu.net/cpu/amd-ryzen-5-8400f
191,AMD Ryzen 5 8645HS,23060,6,12,4.3GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-5-8645hs
192,Intel Core i9 10900K,22996,10,20,3.7GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900k
193,AMD Ryzen 7 3800X,22993,8,16,3.9GHz,2019.07,https://www.topcpu.net/cpu/amd-ryzen-7-3800x
194,Intel Core i5 13500H,22985,12,16,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500h
195,Intel Core i9 11900,22929,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900
196,Intel Core i9 10900KF,22915,10,20,3.7GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900kf
197,Intel Core i5 12600H,22872,12,16,2.7GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12600h
198,AMD Ryzen 5 7640HS,22845,6,12,4.3GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-5-7640hs
199,AMD Ryzen 7 6800HS,22804,8,16,3.2GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-7-6800hs
200,Intel Core i9 11900F,22779,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900f
201,AMD Ryzen 9 5900HX,22772,8,16,3.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900hx
202,Intel Core i9 10850K,22770,10,20,3.6GHz,2020.07,https://www.topcpu.net/cpu/intel-core-i9-10850k
203,Intel Core 7 240H,22770,10,16,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-7-240h
204,AMD Ryzen Threadripper 1920X,22610,12,24,3.5GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1920x
205,Intel Core i9 10900X,22469,10,20,3.7GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10900x
206,Intel Core Ultra 5 135H,22460,14,18,1.7GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-135h
207,AMD Ryzen 7 3700X,22443,8,16,3.6GHz,2019.07,https://www.topcpu.net/cpu/amd-ryzen-7-3700x
